,2018,,2017,,2016,,2015,,2014,,2013,,2012,,2011,,2010,,2009,,2008,,2007,,2006,,2005,,2004,,2003,,2002,,2001
COUNTY, % ,, %,, %,,%,, % ,, % ,, %,, %,, % ,, %,, % ,, %,, % ,, % ,, % ,, % ,, % ,, % 
Ritchie,40.4,-3.9,44.3,-14.0,58.3,10.9,47.4,10.6,36.8,-13.7,50.5,-2.9,53.4,-1.1,54.5,-18.7,73.2,14.1,59.1,11.3,47.8,-20.5,68.3,4.3,64.0,-0.3,64.3,4.9,59.4,-0.2,59.63,3.88,55.75,-16.28,72.03
Roane,41.7,-0.1,41.8,-12.4,54.2,10.1,44.1,1.9,42.2,4.1,38.1,-13.3,51.4,13.0,38.4,-15.2,53.6,-1.0,54.6,8.5,46.1,-2.3,48.4,-8.0,56.4,17.7,38.7,-11.6,50.3,6.1,44.16,3.93,40.23,-3.23,43.46
Summers,55.9,16.3,39.6,-7.0,46.6,-7.4,54.0,-6.2,60.2,1.7,58.5,8.5,50.0,-6.2,56.2,13.9,42.3,-14.8,57.1,22.6,34.5,-8.7,43.2,-1.7,44.9,-1.3,46.2,-1.0,47.2,-11.3,58.51,20.65,37.86,-7.67,45.53
Taylor,49.3,0.9,48.4,2.7,45.7,5.9,39.8,-1.7,41.5,-19.5,61.0,8.0,53.0,-17.3,70.3,7.9,62.4,3.1,59.3,7.2,52.1,-1.8,53.9,7.6,46.3,-2.1,48.4,-29.7,78.1,20.0,58.08,-17.44,75.52,24.04,51.48
Tucker,50.0,-4.9,54.9,-0.9,55.8,1.6,54.2,5.4,48.8,-8.0,56.8,5.7,51.1,-3.4,54.5,9.1,45.4,-15.7,61.1,5.0,56.1,8.4,47.7,-2.3,50.0,-2.9,52.9,-9.5,62.4,11.8,50.62,3.05,47.57,-2.96,50.53
Tyler,54.1,3.6,50.5,-12.1,62.6,8.8,53.8,1.3,52.5,-9.3,61.8,8.0,53.8,4.2,49.6,-15.6,65.2,4.8,60.4,-1.0,61.4,-5.0,66.4,2.7,63.7,-0.5,64.2,-0.3,64.5,-5.3,69.81,2.81,67.00,13.36,53.64
Upshur,42.1,-4.6,46.7,-0.3,47.0,-0.2,47.2,10.3,36.9,-7.7,44.6,-2.6,47.2,-3.0,50.2,0.2,50.0,0.9,49.1,-6.0,55.1,0.8,54.3,-2.8,57.1,2.9,54.2,-17.1,71.3,-0.8,72.05,10.76,61.29,4.32,56.97
Wayne,55.2,-5.3,60.5,1.4,59.1,0.3,58.8,7.0,51.8,-10.2,62.0,4.6,57.4,3.3,54.1,-14.1,68.2,1.1,67.1,4.1,63.0,0.0,63.0,-2.0,65.0,-0.2,65.2,12.7,52.5,3.7,48.78,1.02,47.76,-0.14,47.90
Webster,47.0,-8.7,55.7,5.7,50.0,6.1,43.9,-8.7,52.6,11.1,41.5,-8.5,50.0,-2.6,52.6,11.2,41.4,-7.6,49.0,4.1,44.9,4.3,40.6,2.3,38.3,-4.4,42.7,-7.3,50.0,9.8,40.17,-0.70,40.87,1.04,39.83
Wetzel,50.5,1.0,49.5,-9.5,59.0,9.9,49.1,4.1,45.0,-7.0,52.0,5.5,46.5,-12.5,59.0,-1.0,60.0,-3.8,63.8,1.2,62.6,10.0,52.6,-6.2,58.8,2.1,56.7,-4.5,61.2,4.0,57.20,-6.03,63.23,7.32,55.91
Wirt,45.7,2.2,43.5,-6.5,50.0,-3.2,53.2,3.2,50.0,-6.2,56.2,-10.5,66.7,19.2,47.5,-18.3,65.8,8.7,57.1,2.4,54.7,-2.0,56.7,-2.7,59.4,-12.3,71.7,19.3,52.4,-3.6,56.04,6.04,50.00,-4.64,54.64
Wood,56.8,-1.5,58.3,-2.3,60.6,-0.2,60.8,-0.9,61.7,-4.7,66.4,1.7,64.7,-1.5,66.2,-0.6,66.8,-3.0,69.8,-4.5,74.3,9.4,64.9,-5.7,70.6,-1.2,71.8,1.3,70.5,5.2,65.31,0.10,65.21,8.45,56.76
Wyoming,44.3,-2.1,46.4,2.7,43.7,1.2,42.5,-1.2,43.7,-3.0,46.7,7.7,39.0,-0.7,39.7,-11.1,50.8,1.2,49.6,0.4,49.2,1.0,48.2,1.9,46.3,-4.1,50.4,5.3,45.1,-2.2,47.33,7.98,39.35,-12.32,51.67
TOTAL,52.6,-1.9,54.5,-0.5,55.0,0.3,54.7,0.1,54.6,-1.3,55.9,-0.5,56.4,-1.5,57.9,-0.9,58.8,-2.7,61.5,2.7,58.8,1.3,57.5,-0.8,58.3,-1.0,59.3,-1.3,60.6,1.2,59.39,2.86,56.53,0.16,56.37
